Year,Selling_Price,Present_Price,Kms_Driven
2014,3.35,5.59,27000
2013,4.75,9.54,43000
2017,7.25,9.85,6900
2011,2.85,4.15,5200
2014,4.6,6.87,42450
2018,9.25,9.83,2071
2015,6.75,8.12,18796
2015,6.5,8.61,33429
2016,8.75,8.89,20273
2015,7.45,8.92,42367
2017,2.85,3.6,2135
2015,6.85,10.38,51000
2015,7.5,9.94,15000
2015,6.1,7.71,26000
2009,2.25,7.21,77427
2016,7.75,10.79,43000
2015,7.25,10.79,41678
2016,7.75,10.79,43000
2015,3.25,5.09,35500
2010,2.65,7.98,41442
2016,2.85,3.95,25000
2017,4.9,5.71,2400
2011,4.4,8.01,50000
2014,2.5,3.46,45280
2013,2.9,4.41,56879
2011,3,4.99,20000
2013,4.15,5.87,55138
2017,6,6.49,16200
2010,1.95,3.95,44542
2015,7.45,10.38,45000
2012,3.1,5.98,51439
2011,2.35,4.89,54200
2014,4.95,7.49,39000
2014,6,9.95,45000
2014,5.5,8.06,45000
2011,2.95,7.74,49998
2015,4.65,7.2,48767
2003,0.35,2.28,127000
2016,3,3.76,10079
2003,2.25,7.98,62000
2016,5.85,7.87,24524
2014,2.55,3.98,46706
2008,1.95,7.15,58000
2014,5.5,8.06,45780
2012,1.25,2.69,50000
2014,7.5,12.04,15000
2013,2.65,4.89,64532
2006,1.05,4.15,65000
2015,5.8,7.71,25870
2017,7.75,9.29,37000
2012,14.9,30.61,104707
2015,23,30.61,40000
2017,18,19.77,15000
2013,16,30.61,135000
2005,2.75,10.21,90000
2009,3.6,15.04,70000
2015,4.5,7.27,40534
2010,4.75,18.54,50000
2014,4.1,6.8,39485
2014,19.99,35.96,41000
2013,6.95,18.61,40001
2015,4.5,7.7,40588
2014,18.75,35.96,78000
2015,23.5,35.96,47000
2017,33,36.23,6000
2014,4.75,6.95,45000
2017,19.75,23.15,11000
2010,9.25,20.45,59000
2011,4.35,13.74,88000
2016,14.25,20.91,12000
2014,3.95,6.76,71000
2011,4.5,12.48,45000
2013,7.45,18.61,56001
2011,2.65,5.71,43000
2014,4.9,8.93,83000
2015,3.95,6.8,36000
2013,5.5,14.68,72000
2004,1.5,12.35,135154
2010,5.25,22.83,80000
2012,14.5,30.61,89000
2016,14.73,14.89,23000
2015,4.75,7.85,40000
2017,23,25.39,15000
2015,12.5,13.46,38000
2005,3.49,13.46,197176
2006,2.5,23.73,142000
2010,35,92.6,78000
2012,5.9,13.74,56000
2013,3.45,6.05,47000
2014,4.75,6.76,40000
2009,3.8,18.61,62000
2014,11.25,16.09,58242
2005,3.51,13.7,75000
2015,23,30.61,40000
2008,4,22.78,89000
2012,5.85,18.61,72000
2016,20.75,25.39,29000
2017,17,18.64,8700
2013,7.05,18.61,45000
2010,9.65,20.45,50024
2016,1.75,1.9,3000
2017,1.7,1.82,1400
2017,1.65,1.78,4000
2017,1.45,1.6,1200
2017,1.35,1.47,4100
2015,1.35,2.37,21700
2014,1.35,3.45,16500
2013,1.25,1.5,15000
2016,1.2,1.5,18000
2017,1.2,1.47,11000
2016,1.2,1.78,6000
2016,1.15,1.5,8700
2014,1.15,2.4,7000
2016,1.15,1.4,35000
2015,1.15,1.47,17000
2015,1.11,1.47,17500
2013,1.1,1.47,33000
2015,1.1,1.9,14000
2015,1.1,1.47,26000
2013,1.05,1.9,5400
2016,1.05,1.26,5700
2011,1.05,1.5,6900
2016,1.05,1.17,6000
2013,1,1.47,46500
2012,0.95,1.75,11500
2009,0.9,1.75,40000
2017,0.9,0.95,1300
2016,0.75,0.8,7000
2017,0.8,0.87,3000
2017,0.78,0.84,5000
2017,0.75,0.87,11000
2015,0.75,0.82,18000
2017,0.75,0.95,3500
2016,0.72,0.95,500
2017,0.65,0.81,11800
2015,0.65,0.74,5000
2014,0.65,1.2,23500
2013,0.65,0.787,16000
2016,0.6,0.87,15000
2015,0.6,0.95,16600
2013,0.6,1.2,32000
2016,0.6,0.8,20000
2015,0.6,0.84,29000
2016,0.6,0.84,25000
2014,0.6,0.99,25000
2012,0.6,0.81,19000
2014,0.55,0.787,15000
2015,0.55,0.84,58000
2010,0.52,0.94,45000
2016,0.51,0.94,24000
2011,0.5,0.826,6000
2016,0.5,0.55,31000
2012,0.5,0.99,13000
2013,0.5,0.99,45000
2014,0.5,0.88,8000
2017,0.48,0.51,4300
2017,0.48,0.52,15000
2015,0.48,0.84,23000
2017,0.48,0.54,8600
2017,0.45,0.51,4000
2011,0.45,0.95,24000
2014,0.45,0.826,23000
2012,0.45,0.99,14500
2010,0.45,0.95,27000
2016,0.45,0.54,14000
2016,0.45,0.54,500
2016,0.45,0.55,1000
